         |    (    |    )    |    *    |    +    |    -    |    /    |    ;    |    =    |    A    |    B    |    C    |    D    |    E    |    F    |    G    |    H    |    I    |    J    |    K    |   L    |    M    |    N    |    S    |    a    |    b    |    c    |    d    |    e    |    f    |    g    |    h    |    i    |    j    |    k    |    {    |    }    |    #    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0    |         |         |         |         |         |         |         |         |    1    |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |     S2  |         |         |
    1    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |    acc  |
    2    |         |         |         |         |         |         |         |         |    3    |    4    |    5    |    6    |    7    |         |    8    |    9    |         |         |         |        |         |         |         |    S10  |         |         |    S11  |    S12  |         |         |         |         |         |         |     S2  |         |         |
    3    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |     R4  |         |     R4  |     R4  |     R4  |         |         |         |         |         |         |     R4  |     R4  |     R4  |
    4    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |     R1  |         |     R1  |     R1  |     R1  |         |         |         |         |         |         |     R1  |     R1  |     R1  |
    5    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |     R2  |         |     R2  |     R2  |     R2  |         |         |         |         |         |         |     R2  |     R2  |     R2  |
    6    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |     R3  |         |     R3  |     R3  |     R3  |         |         |         |         |         |         |     R3  |     R3  |     R3  |
    7    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |     R7  |     R7  |
    8    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |    S13  |         |
    9    |         |         |         |         |         |         |         |         |    3    |    4    |    5    |    6    |    7    |         |   14    |    9    |         |         |         |        |         |         |         |    S10  |         |         |    S11  |    S12  |         |         |         |         |         |         |     S2  |         |         |
   10    |    S15  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |
   11    |    S16  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |
   12    |         |         |         |         |         |         |         |    S17  |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |
   13    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |     R5  |         |     R5  |     R5  |     R5  |         |         |         |         |         |         |     R5  |     R5  |     R5  |
   14    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |     R6  |     R6  |
   15    |    S18  |         |         |         |         |         |         |         |         |         |         |         |         |   19    |         |         |         |         |   20    |  21    |   22    |         |         |         |         |         |         |    S23  |    S24  |         |         |         |         |         |         |         |         |
