dept,date,title,view
物理与材料科学学院,2020-01-29,物理与电子科学学院召开第二届教职工代表大会暨工会会员代表大会第五次会议,200
物理与材料科学学院,2020-01-18,物理系1980级英语试点班校友座谈会顺利召开,437
物理与材料科学学院,2020-01-09,刘宗华教授领衔的《复杂网络上的动力学相变研究》获高等学校科学研究优秀成果奖（科学...,18
物理与材料科学学院,2020-01-07,感恩有你致敬奋斗|物理与电子科学学院举办退休教师迎新茶话会,-1
物理与材料科学学院,2020-01-07,电子科学系举办2019级本科生导师制师生见面会,232
物理与材料科学学院,2020-03-31,电子科学系教工党支部开展线上主题党日活动,44
物理与材料科学学院,2020-03-30,华东师大科学家突破超快光学成像维度,-1
物理与材料科学学院,2020-03-26,不忘初心使命展示大国担当|精密光谱国家重点实验室2017级研究生党支部举办在线主题党...,88
物理与材料科学学院,2020-03-23,荆桃不语朝晖可待|圣邦微电子向我院捐赠防疫物资,15
物理与材料科学学院,2020-03-13,三月春暖共克时艰|物理与电子科学学院诚邀广大用人单位来我院选贤纳才,-1
物理与材料科学学院,2020-03-12,媒体视点|“云来云去”搭起空中求聘鹊桥,-1
物理与材料科学学院,2020-03-12,战疫情！物理与电子科学学院党员师生在行动,12
物理与材料科学学院,2020-03-12,疫情防控期间，居家“云学习”等你来！,157
化学与分子工程学院,2020-01-22,化学与分子工程学院闵行&中北丨2020年寒假留校生“迎新春”同乐会,103
化学与分子工程学院,2020-01-14,在“传-帮-带”中厚积薄发——访“最具发展潜力项目”获奖团队,105
化学与分子工程学院,2020-01-14,载誉归来，续写荣光——访“创新创业新锐”获奖者王琦贤、陈子晗,141
化学与分子工程学院,2020-01-14,把握时代脉搏，浇灌梦想之花——访“最具竞争力项目”获奖团队,74
化学与分子工程学院,2020-01-14,试炼的终点是花开万里——记华东师范大学校长奖学金本科生获得者韩欣悦,269
化学与分子工程学院,2020-01-14,梅花香自苦寒来——记华东师范大学校长奖学金研究生获得者秦毅,82
化学与分子工程学院,2020-02-19,凝心聚力共克时艰——化学与分子工程学院上海分子新药研究中心党支部助力疫情防控,-1
化学与分子工程学院,2020-02-15,化学与分子工程学院闵行2018级研究生党支部组织开展爱心募捐活动,54
化学与分子工程学院,2020-02-03,践行初心使命，共同抗击疫情——化学与分子工程学院闵行2019级研究生党支部组织开展爱心募捐活动,703
化学与分子工程学院,2020-03-19,“线上团课∣助力疫情防控，凝聚青春力量——化学院3月团日活动小结”或者“化院线上团课∣助力疫情防控，凝聚青春力量”,169
化学与分子工程学院,2020-03-08,营养战“疫”，大家一起来提升免疫力--这个春天，化学院工会组织了一场暖心的“女神节”活动,98
化学与分子工程学院,2020-03-05,信息量很大！华东师大“新春第一会”给年度工作划重点,-1
化学与分子工程学院,2020-03-03,华东师范大学化学与分子工程学院田阳教授新任ChemComm副主编,-1
化学与分子工程学院,2020-03-03,防疫志愿日记∣“特殊身份”与特殊的爱,71
化学与分子工程学院,2020-03-03,防疫志愿日记∣社区防疫第一线，有我们化院人的身影,87
生命科学学院,2020-01-15,主题教育引领未来科研实干锚定方向--生物学系教工党支部学习贯...,-1
生命科学学院,2020-01-09,牛！华东师大科学家攻克地中海贫血基因治疗难题,-1
生命科学学院,2020-01-09,爱在生科，砥砺前行——生命医学系教工第一党支部组织国家自然科...,-1
生命科学学院,2020-01-07,2016级生物技术专业实习汇报展示顺利举行,156
生命科学学院,2020-01-07,生命科学学院2019年度总结大会暨教职工联欢会顺利举行,186
生命科学学院,2020-01-06,中科院植物生理生态研究所王二涛研究员来访生命科学学院并进行学...,198
生命科学学院,2020-01-06,生命科学学院二级教代会第二届第4次会议顺利召开,125
生命科学学院,2020-01-06,校工会召开2019年度工会工作总结表彰会——我院王琛等同志获表彰,108
生命科学学院,2020-01-03,2016级师范生教育实习工作圆满结束-暨总结交流大会顺利召开,140
生命科学学院,2020-01-02,生命科学学院师生在2019年华东师范大学创新创业表彰大会中载誉而...,312
生命科学学院,2020-02-27,青山同云雨，一路守护你——生物学系教工党支部为研究生捐赠返校防...,-1
生命科学学院,2020-02-21,采一滴血，十分钟检出！华东师大成功研制试剂盒，加速新冠病毒快...,-1
生命科学学院,2020-03-31,疫情下的感动和行动--生命医学系教工第一党支部积极开展线上组...,-1
生命科学学院,2020-03-21,最新！华东师大团队破译影响身高的基因密码！,-1
生命科学学院,2020-03-18,生命科学学院杜震宇教授受聘为两本SCI期刊的责任编辑,201
生命科学学院,2020-03-14,精准医疗！华东师大研究揭示KRAS突变肺腺癌的代谢特征,-1
生命科学学院,2020-03-12,天高任鸟飞，大夏学堂为学生插上“隐形的翅膀”--两位生科学子...,274
生命科学学院,2020-03-11,顾氏拉姆虫！华东师大科学家崇明岛发现新物种,-1
生命科学学院,2020-03-10,让教育者先受教育--生物学系教工党支部组织学习“云端”第一课,-1
生命科学学院,2020-03-10,肩负使命担责任，勇立潮头御风行——生命科学学院师生聆听华东师范...,127
生命科学学院,2020-03-09,让党旗高高飘扬在线上教学的阵地上--生物学系教工党支部推进疫...,-1
生命科学学院,2020-03-05,增强责任意识，共克肺炎疫情——植物学与生态学研究生党支部开展线...,-1
生命科学学院,2020-03-02,《自然》杂志焦点栏目专访华东师大周晓明教授关注大脑感知觉如...,-1
生命科学学院,2020-03-01,师生勠力同心，携手共克疫情——生命科学学院辅导员团队守好校园战...,166
生命科学学院,2020-03-01,师生携手同行，点亮生涯之路——生物学系教工党支部联合2017级博士...,-1
地理科学学院,2020-01-25,除夕夜，华东师大博士生从南极内陆打来电话，他说…,1190
地理科学学院,2020-01-08,美国马里兰大学ToddKana教授应邀访问我院进行学术交流,1375
地理科学学院,2020-01-07,华东师大地理科学学院获赠“地理”石，校企合作全面开展,2105
地理科学学院,2020-02-26,助力疫情防控——华东师大地理科学学院党员师生研发“华师疫控”小程序,821
生态与环境科学学院,2020-01-21,生态与环境科学学院实验室安全小卫士开展2020年1月实验室、学生办公室安全检查,515
生态与环境科学学院,2020-01-11,炫彩包包贴出来——生态与环境科学学院举办寒假学生手工制作贴画帆布包活动,2407
生态与环境科学学院,2020-01-09,生态与环境科学学院邀请美国工程院院士开展纳米技术应用讲座,2531
生态与环境科学学院,2020-01-08,叙发展暖人心——生态与环境科学学院工会举办青年教师新年联谊活动,2502
生态与环境科学学院,2020-01-08,只争朝夕不负韶华——生态与环境科学学院召开2019年度期末教职工大会,2332
生态与环境科学学院,2020-01-03,生态与环境科学学院研会举办“生态统计R语言&MATLAB难点问题答疑解惑”学术沙...,1560
生态与环境科学学院,2020-01-02,创意“袋”来美——生态与环境科学学院工会举办蝶骨巴特帆布袋创意美化活动,1479
